Theta(deg),Phi(deg),Freq(kT),mstar(me),Curv(kTA2),Type(+e-h),NumOrbCopy
  0.000000, 90.000000,  1.719588E-01,  2.877580E-01, -6.267846E+01, 1.000,  210
  0.000000, 90.000000,  4.260602E-01,  4.276458E-01,  9.687605E+01, 1.000,  224
  0.000000, 90.000000,  4.260692E-01,  4.273736E-01,  9.695576E+01, 1.000,  224
  0.000000, 90.000000,  5.106556E-01,  5.102176E-01, -1.193155E+02, 1.000,  224
  0.000000, 90.000000,  5.106606E-01,  5.099682E-01, -1.194994E+02, 1.000,  224
  0.000000, 90.000000,  5.713843E-01,  4.446754E-01, -3.374256E+01, 1.000,  224
  0.000000, 90.000000,  5.713868E-01,  4.446795E-01, -3.373844E+01, 1.000,  224
  2.045455, 90.000000,  1.708494E-01,  2.864567E-01, -5.980767E+01, 1.000,  262
  2.045455, 90.000000,  4.260067E-01,  4.278196E-01,  9.911494E+01, 1.000,  224
  2.045455, 90.000000,  4.261996E-01,  4.278249E-01,  9.794614E+01, 1.000,  224
  2.045455, 90.000000,  5.099951E-01,  5.159501E-01, -1.320793E+02, 1.000,  224
  2.045455, 90.000000,  5.101136E-01,  5.188106E-01, -1.374848E+02, 1.000,  224
  2.045455, 90.000000,  5.717811E-01,  4.465621E-01, -3.089527E+01, 1.000,  224
  2.045455, 90.000000,  5.718364E-01,  4.463419E-01, -3.126793E+01, 1.000,  224
  4.090909, 90.000000,  1.702892E-01,  2.851946E-01, -5.871265E+01, 1.000,  259
  4.090909, 90.000000,  4.272247E-01,  4.290045E-01,  9.622378E+01, 1.000,  235
  4.090909, 90.000000,  4.273089E-01,  4.288517E-01,  9.594535E+01, 1.000,  231
  4.090909, 90.000000,  5.104331E-01,  5.149225E-01, -1.315103E+02, 1.000,  223
  4.090909, 90.000000,  5.104876E-01,  5.175308E-01, -1.357058E+02, 1.000,  225
  4.090909, 90.000000,  5.728114E-01,  4.473112E-01, -3.151674E+01, 1.000,  226
  4.090909, 90.000000,  5.728241E-01,  4.474188E-01, -3.127096E+01, 1.000,  227
